"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"d:\Github\redstoneart-server.github.io\css\layout\pages.main.css", "CSS", 0, 2, 0, 0, 2
"d:\Github\redstoneart-server.github.io\css\layout\pages\core-members.css", "CSS", 0, 32, 0, 5, 37
"d:\Github\redstoneart-server.github.io\css\layout\pages\join-us.css", "CSS", 0, 11, 0, 1, 12
"d:\Github\redstoneart-server.github.io\css\layout\pages\past-to-now.css", "CSS", 0, 23, 0, 3, 26
"d:\Github\redstoneart-server.github.io\css\main.css", "CSS", 0, 10, 1, 1, 12
"d:\Github\redstoneart-server.github.io\index.html", "HTML", 55, 0, 7, 0, 62
"Total", "-", 55, 78, 8, 10, 151
